country,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Mongolia,156624745,1863043,1244280,78601,17444,12494,18137,27855,4823,8096,39247,33459,58739,5281,2052,14001,239,250,5859,2475,10747,6516,883,239,100,53
Montenegro,1333523,550242,503009,9784,795,166,178,857,166,158,961,1348,527,195,452,1118,2133,1303,171,1070,917,1496,623,934,481,1104
Montserrat,10062,4290,3871,250,7,2,2,8,24,12,10,6,5,107,6,2,1,0,0,6,0,9,5,2,2,0
Morocco,41348767,436049,250765,81646,1398,3026,1409,937,1000,1614,2011,2646,897,772,2744,1293,583,1300,665,1425,1724,1595,948,2969,1166,10251
Mozambique,78729717,10493860,10327866,583188,32412,52748,39467,47747,70115,87727,66061,103213,110324,100481,82075,72498,86620,112660,99132,140319,182283,83657,114878,112070,137454,116315
Myanmar,66929667,39793697,37223918,636627,42344,62065,72737,95856,87217,117618,137944,111841,204580,161506,128114,207731,225984,300048,267558,330841,310081,253658,281018,282945,278037,238172
Namibia,82385622,571,47,15114,148,36,101,27,5,4,8,2,4,2,7,2,0,0,0,0,0,0,0,0,0,0
Nauru,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,14766250,4308185,3547665,174008,1313,1824,1913,1893,2308,2658,2822,2415,4551,1808,2446,4309,671,925,503,832,2042,1399,1766,1865,2330,1705
Netherlands,3766566,473967,546956,60819,701,760,292,1203,1388,1409,1604,1097,1493,3247,1115,923,487,812,851,1312,1212,1136,2276,1770,2315,1090
New Caledonia,1882559,1051341,998499,1855,548,431,680,1166,1265,1741,796,455,772,443,569,641,1045,914,245,712,761,1786,445,2774,457,237
New Zealand,26716575,10796210,10604408,434875,50331,63051,44662,60492,52302,61488,62442,61204,59496,55980,59788,69060,76153,77952,63120,78928,73256,77498,69870,59142,63867,55968
Nicaragua,12821978,7067163,6463052,142445,42313,52957,45108,20205,92448,37745,86377,52205,81744,207513,42756,32764,43206,74085,34947,139836,210390,70495,76872,110376,91304,48353
Niger,118366970,0,4,5782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,90840998,4725124,4488672,927801,19225,17811,5435,8338,6289,13137,10422,12815,11186,18422,25997,15822,16518,25685,14113,29449,55876,44348,33478,40594,36844,39951
Norfolk Island,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,12275519,4093698,3360822,288492,10504,4396,6085,9314,13040,10596,10893,15611,11005,15914,4656,13865,4366,8951,7356,9947,7267,6597,19580,12192,11605,7701
Northern Cyprus,331407,7631,5233,1628,14,2,1,9,1,11,9,17,19,7,9,3,11,22,12,19,21,15,11,4,2,370
Norway,32512221,9807527,10628756,476523,22172,26362,14664,33071,24617,40118,31578,33545,23108,39864,32610,29537,32067,38071,35712,58147,55990,57172,63036,66025,61982,65261
Oman,30933274,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,87417631,666940,370582,133481,196,278,563,1046,828,1190,990,932,815,658,417,200,33,25,2,0,154,60,65,55,46,33
Palau,48743,40143,38627,135,52,75,17,29,43,35,90,64,30,33,31,28,21,92,0,0,0,4,8,14,3,9
Palestina,621997,273,223,1697,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Panama,7510420,5454717,5177449,84109,17873,18717,10991,16434,12067,33355,20139,38950,35784,15203,22743,16656,13803,13700,10343,17023,29977,27099,32787,26500,23575,16752
Papua New Guinea,46363061,41976753,41702002,266145,35783,54205,31679,57810,38819,56114,48962,70675,48949,68481,52801,73026,55916,104591,178565,175394,115923,117095,94277,77801,75974,140710
Paracel Islands,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,39958668,13995686,13385090,642488,106608,142233,208197,192190,162691,94729,257255,238662,218719,293737,274293,292275,159324,147431,120156,159532,204175,111746,229455,143094,167788,124690
Peru,129281869,76831887,77013256,430186,85317,79687,73211,100625,161951,88284,115093,125945,176952,141529,124547,273536,207079,203194,164811,228047,298333,209567,229273,275955,222698,233032
Philippines,29585658,17415157,16824058,172161,34460,31673,34667,48050,49095,56801,65675,38380,60008,101155,32958,58577,57407,99174,63877,124480,110284,67904,61908,61502,47161,82179
Poland,31239918,9529734,9155424,892072,18439,29918,31996,40103,79896,36391,55773,46607,45692,70206,55557,53667,33608,53732,40942,82797,91953,92431,73908,71885,74657,68751
Portugal,8955506,1589978,1449273,168607,19273,27989,21533,43191,32227,35556,30814,28698,34317,42205,23444,47688,37431,44273,33313,67620,120212,72894,24917,44408,25733,30840
Puerto Rico,897037,491959,488229,7141,1179,1091,1134,1252,1216,1180,979,1163,916,572,1168,631,656,788,671,550,55900,1193,633,634,638,566
Qatar,1162494,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Congo,34173223,23943299,23681987,113139,25332,22773,17615,12605,17814,21037,27851,15343,16860,41107,25801,29291,48895,65407,41829,105851,57207,57807,66478,58238,47793,53768
Reunion,251271,131489,136405,0,27,458,128,0,209,589,0,14,174,204,477,665,885,423,2,6,0,0,0,0,0,0
Romania,23833794,7383118,6998751,223890,17421,16169,9313,18683,19261,12937,37587,17397,16028,17684,16726,30087,12619,19102,10722,22703,18810,18746,12084,27135,14434,16135
Russia,1689455452,601267937,600144782,37220539,1447757,1949102,2249759,2748374,1382735,1871714,2093229,2600462,1803959,1612863,2564996,4493951,4077015,3320880,1893865,3810550,4350646,4134390,2636579,3508875,4302011,3356549
Rwanda,2527770,204388,233787,16061,1089,522,698,713,525,447,855,700,969,1430,658,619,1008,1433,1164,1495,1127,2127,1299,1660,1421,1085
Saint Kitts and Nevis,26718,12369,12265,426,43,19,30,23,18,19,12,22,33,18,12,10,5,4,1,8,4,5,8,10,9,4
